iter	Logloss
0	0.6616925067
1	0.6227567696
2	0.5915468231
3	0.5638184783
4	0.5367480282
5	0.5258701783
6	0.5100189147
7	0.4968024795
8	0.4865136579
9	0.4780818923
10	0.4691509669
11	0.4610252634
12	0.4537140481
13	0.4471455248
14	0.4396145078
15	0.4361548167
16	0.4347016121
17	0.430278088
18	0.4273823822
19	0.4246489517
20	0.4213534509
21	0.4193814099
22	0.4162731365
23	0.4146150238
24	0.4134121357
25	0.4120627964
26	0.4104734036
27	0.4095396553
28	0.4078180111
29	0.4065733858
30	0.4059805802
31	0.4047156565
32	0.4039010889
33	0.4021333966
34	0.4015086243
35	0.4011546493
36	0.4006389051
37	0.3998002651
38	0.3991528539
39	0.3985573845
40	0.3982460867
41	0.3977885862
42	0.3973277775
43	0.3966797157
44	0.3962934156
45	0.3956585423
46	0.3955281136
47	0.395350894
48	0.3949724054
49	0.3945743002
50	0.3937803473
51	0.3934884898
52	0.3930939518
53	0.3925978972
54	0.3923461305
55	0.3922050731
56	0.3920013486
57	0.391709376
58	0.3911678107
59	0.390872761
60	0.390465412
61	0.3902069418
62	0.3900445606
63	0.389782858
64	0.3895293095
65	0.3893124755
66	0.3893055295
67	0.3892193048
68	0.3890447037
69	0.3889357796
70	0.3888841243
71	0.3886185713
72	0.3885154982
73	0.3883119956
74	0.3882643255
75	0.3880134514
76	0.3879626555
77	0.3878877282
78	0.3877515892
79	0.3875132024
80	0.3873908795
81	0.3873210627
82	0.3872138194
83	0.3871044282
84	0.3870760325
85	0.3869801656
86	0.3868804631
87	0.3868040579
88	0.3866198268
89	0.3865276957
90	0.3863808984
91	0.3861467843
92	0.3859671043
93	0.3857713443
94	0.3856859799
95	0.3856363209
96	0.3855504906
97	0.3853810563
98	0.3851904497
99	0.3846954908
100	0.3845163864
101	0.3844296874
102	0.3843624173
103	0.3842902064
104	0.384269037
105	0.3840441025
106	0.3839496924
107	0.383869115
108	0.3837775892
109	0.3837094127
110	0.3836431868
111	0.3833844947
112	0.3833259902
113	0.3830707492
114	0.3828322516
115	0.3827308152
116	0.3826584018
117	0.3824143571
118	0.3822796329
119	0.3821742006
120	0.3819785965
121	0.3817923556
122	0.3815237986
123	0.3813391282
124	0.3811223625
125	0.38107339
126	0.380975072
127	0.3808914037
128	0.3807911863
129	0.3805624366
130	0.3804251384
131	0.3802694517
132	0.3800324327
133	0.3799248342
134	0.3797689508
135	0.3794653791
136	0.3793016638
137	0.3792185485
138	0.3791121994
139	0.3790370167
140	0.3787357854
141	0.3784573246
142	0.3783059632
143	0.3780661487
144	0.3778933793
145	0.3778449443
146	0.3777640928
147	0.3774444671
148	0.3773478112
149	0.3771570638
150	0.3769792841
151	0.37671517
152	0.376502203
153	0.3762791688
154	0.3761992778
155	0.3760895091
156	0.3759930381
157	0.3756851197
158	0.3754904113
159	0.3753482228
160	0.3751117143
161	0.3747687676
162	0.3746541541
163	0.3744915318
164	0.3744094824
165	0.3742487499
166	0.3741741956
167	0.3738863339
168	0.3738273051
169	0.3736122363
170	0.3733078019
171	0.3731278348
172	0.372867866
173	0.3728005046
174	0.3726585325
175	0.3726203968
176	0.3725357222
177	0.3723278414
178	0.3721960178
179	0.372161531
180	0.372038661
181	0.3718629317
182	0.3717867363
183	0.3716895647
184	0.371519838
185	0.3714459471
186	0.3713200467
187	0.3712378231
188	0.3712035522
189	0.3709602925
190	0.3709301014
191	0.3705350487
192	0.3703045725
193	0.3700826236
194	0.3699709377
195	0.3699130184
196	0.3698075017
197	0.36969954
198	0.3696433899
199	0.3694333464
200	0.3692297135
201	0.3691779034
202	0.3690898032
203	0.3689406762
204	0.368894327
205	0.368851876
206	0.3686774175
207	0.3683719988
208	0.3682974822
209	0.3680978969
210	0.367937304
211	0.3679114731
212	0.3677534421
213	0.3675321388
214	0.3673322215
215	0.3672513952
216	0.3672118459
217	0.3670396451
218	0.3669538474
219	0.3668844807
220	0.366854793
221	0.3668021047
222	0.3667317908
223	0.3665447904
224	0.3663523995
225	0.3662281496
226	0.3661911048
227	0.3660107388
228	0.3658156304
229	0.3656255274
230	0.3655580355
231	0.365441939
232	0.3653373365
233	0.3652402727
234	0.3650794901
235	0.3650076251
236	0.364878487
237	0.3648507085
238	0.3645935132
239	0.364457542
240	0.3643287327
241	0.3642399611
242	0.3641221891
243	0.3640201376
244	0.3639942225
245	0.3638983574
246	0.3637958314
247	0.3636114302
